name,z,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,peakmag_ztfg,peakmag_ztfi,peakmag_ztfr,mag_err
ZTF18abddmrf,0.16302963,58308.25109638372,0.0002080244252504,2.82367742217776,0.0592625119905105,0.1637577721339767,2.1010670545339143e-06,0.2021134231271708,0.0095336255752473,19.735096619113012,20.337162512586403,19.86686881391974,0.0109660419298617
ZTF18abdfwur,0.07973917,58310.356763296215,0.0006281165182227,-0.6357115860446313,0.0490702829976355,0.0316702124946459,1.945323774410722e-06,0.0427439394962212,0.0034505801139348,18.580815899978457,19.133055455443184,18.68129576418213,0.00336260612574
ZTF18abdiwp,0.06769886,58314.30200988453,0.0011995298181113,0.9014129011740653,0.081926570015576,0.0419670591254544,8.759651060495118e-06,0.0548541313755616,0.0057259094879979,17.850108202562623,18.373842889560255,17.930852265372785,0.0079286651768288
ZTF18abfwuwn,0.1029485,58324.443055431904,0.0004706601429544,0.5109991241687702,-0.0158830562289618,0.0507015717666945,2.610187054073305e-06,0.062923762433791,0.0053823837812635,18.916276967760144,19.60202000295792,19.09096898947723,0.0060212759211117
ZTF18abglpdy,0.13665,58320.45335171575,0.0002176050646995,-0.5534398232384737,0.0386149846973126,0.1197971102956216,3.117582233621478e-06,0.1705420555016402,0.0136810358605578,19.736147648914145,20.30799498865779,19.84775841006718,0.0155551154428674
ZTF18abgxvra,0.10286515,58328.93616119711,0.0005239838659866,0.8362943423994746,-0.0181279407670579,0.047149691843515,2.2084241683104184e-06,0.0544498361004895,0.0047571617614156,18.79800110586459,19.49359493515734,18.97775183191154,0.0045760303525424
ZTF18abhgrff,0.09293368,58891.22519788861,0.000421230623909,-1.594687567090332,0.1109968987045535,0.0738256104123138,4.216675202545741e-06,0.1094831146327116,0.0092342295519843,18.99158717783145,19.419189580161344,19.02242567282972,0.0108686231989107
ZTF18abhpgje,0.13501953,58336.610903346336,0.0003494102291877,2.5162891437481902,-0.0154193379840527,0.1283414379395253,3.0203468877699687e-06,0.1315437782301907,0.0068649593678585,19.215094417991693,19.938831564393197,19.413493678018693,0.0093852431699091
ZTF18abhxidv,0.06743792,58325.75731243468,0.0008621770125164,-0.1368557467332107,0.0923348264342196,0.0584267232661659,5.8542379919124e-06,0.0685507646226832,0.0064686945774099,18.21233054519943,18.6990077587394,18.273503031575096,0.0073722194477651
ZTF18abifioh,0.1033076,58907.919165478415,0.000418578694574,-0.9505751469426696,-0.0308159984785184,0.3127456300389895,1.1099771921608876e-05,0.4123249844544921,0.0276691055803372,19.0615780334566,19.746554441889387,19.24019529832461,0.0287912987356257
ZTF18abilofa,0.07494857,58329.29692073142,0.0006646348014243,0.9166775325127,0.1457179252906566,0.4444894686348561,1.7847710614578235e-05,0.1236719813286364,0.0148464237271203,18.459750354508,18.87396236377128,18.47752397644073,0.0291557191178737
ZTF18abixrei,0.1133161,58549.91921734297,0.0003896129362971,-0.4589370668235618,-0.0163431551552217,0.0853358796011889,4.153771080315895e-06,0.116357859044791,0.010713251532034,19.129137585330223,19.79800011702794,19.296735232858605,0.0115753334348643
